company_name,client_name,email,mobile,source,remark,designation,address,category,state,city,pincode,website
Rajdeep Info Techno Pvt Ltd.,,,2067261300,Toll Management System companies in India,,,"GVQW+VVM, E-II, Liberty Phase 2, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001",Software company,Maharashtra,Pune,411001,
BISOTECH (I) Pvt. Ltd,,,9850985068,Toll Management System companies in India,,,"Shed No. 04, Sharda Indutrial Estate Near Khedekar Industrial Estarte Narhe Dhyari Road, behind Pari Comapny, Maharashtra 411041",Automation company,Maharashtra,Pune,411041,http://www.biso.co.in/
Tollplus India Pvt. Ltd.,,,,Toll Management System companies in India,,,"122, Madhapur Rd, Guttala_Begumpet, Kavuri Hills, Jubilee Hills, Hyderabad, Telangana 500033",Corporate office,,,500033,http://www.tollplus.com/
Network Toll Solution Pvt Ltd,,,9958097339,Toll Management System companies in India,,,"metro station, Ashoka Enclave, 100-B, near peera garhi, Paschim Vihar, Delhi, 110087",Software company in Delhi,,,110087,http://nwtech.in/
Tollman International Pvt Ltd,,,1141024370,Toll Management System companies in India,,,"13, Palam Marg, Block B, Vasant Vihar, New Delhi, Delhi 110057",Transportation service in New Delhi,,,110057,http://www.tollman.co.in/
Comvision India Pvt. Ltd.,,,1244212926,Toll Management System companies in India,,,"39, Hartron Complex, Electronic City, Gurugram, Haryana 122015",Corporate office,,,122015,http://www.comvision.co.in/
Toll Management System,,,9691222292,Toll Management System companies in India,,,"No. 98-B, Loknayak Nagar, Raj Mohalla, Indore, Madhya Pradesh 452016",General contractor,Madhya Pradesh,Indore,452016,https://toll-management-system.ueniweb.com/?utm_campaign=gmb
Noida Toll Bridge Company Limited,,,1202516438,Toll Management System companies in India,,,"H8G3+CCF, Toll Plaza, DND Flyway, opposite Sector 15A, Noida, Uttar Pradesh 201301",Corporate office,,,201301,https://ntbcl.com/
QuaLiX Information System LLP,,,1204372900,Toll Management System companies in India,,,"H8MF+4M5, Shaheed Arjun Sardana Marg, Block C, Sector 4, Noida, Uttar Pradesh 201301",Office services,Uttar Pradesh,Noida,201301,http://www.qualix.co.in/
NexGeN Group Of Companies,,,2065422224,Toll Management System companies in India,,,"Office:501-503/c, Business Court Infront Of Brand Factory, Gultekdi Rd, Mukund Nagar, Pune, Maharashtra 411037",Software company,Maharashtra,Pune,411037,
