company_name,client_name,email,mobile,source,remark,designation,address,category,state,city,pincode,website
AlfaOne Technologies Pvt. Ltd.,,,9922478803,Building automation companies,,,"44, Electronic Co-Op. Estate, Satara Road, opposite Utsav Hotel, Pune, Maharashtra 411009",Home automation company,Maharashtra,Pune,411009,
Rajdeep Automation,,,2024393755,Building automation companies,,,"143, Sinhagad Road Dhayri, Sinhagad Road Vadgaon Dhayari, Nanded Fata, Pandurang Industrial Area, Nanded, Pune, Maharashtra 411041",Automation company,Maharashtra,Pune,411041,http://www.rajdeep.in/
B&R Industrial Automation Private Limited,,,2041478999,Building automation companies,,,"Tara Heights, Old Mumbai - Pune Hwy, Wakadewadi, 8, Pune, Maharashtra 411003",Automation company,Maharashtra,Pune,411003,http://www.br-automation.com/
IPAC Automation Pvt Ltd,,,2026890051,Building automation companies,,,"Office 20 & 21, P.S.Angan Complex, Near Magarpatta South gate, Hadapsar, Pune, Maharashtra 411028",Automation company,Maharashtra,Pune,411028,http://ipacautomationpvtltd.com/?utm_source=gmb&utm_medium=referral
TMCS |Theta Measurement And Control Solutions Pvt Ltd,,,8007774712,Building automation companies,,,"3rd Floor, AR Bhat Bhavan, Maratha Chambers of Commerce building, Plot No 587/9, Lokmanya Bal Gangadhar Tilak Rd, Shukravar Peth, Swargate, Pune, Maharashtra 411002",Software company,Maharashtra,Pune,411002,https://www.tmcs.in/
BECKHOFF AUTOMATION PVT LTD,,,2067064800,Building automation companies,,,"Mangaldas Road 9th Floor, Suyog Platinum Tower Off, Pune, Maharashtra 411001",Automation company,Maharashtra,Pune,411001,https://www.beckhoff.com/hi-in/
Tech Innovance,,,9850797912,Building automation companies,,,"Shop No.7, Suyog Navkar, Seven Loves Chowk, next to Axis Bank, Maharashtra",Home automation company,Maharashtra,Pune,7,http://www.techinnovance.com/
InorganicMind Automation Pvt. Ltd.,,,7218628363,Building automation companies,,,"Office No. 301, 3rd Floor, Bhagyodaya Building, Baner Rd, behind Ganesh Datta Mandir, Balewadi Phata, Pune, Maharashtra 411045",Home automation company,Maharashtra,Pune,411045,
Zemote Home Automation,,,18001020755,Building automation companies,,,"101, MCPL Building, Mulshi, Paud Rd, opp. Bank of Maharashtra, Bhugaon, Pune, Maharashtra 412115",Home automation company in Maharashtra,,,412115,http://www.zemote.in/
Analogic Automation Pvt. Ltd.,,,2066436800,Building automation companies,,,"Survey No. 45/13/1&2, Adjacent to Sinhgad Institute of Pharmacy, Narhe Road, near Bank of Maharashtra, Pune, Maharashtra 411041",Automation company,Maharashtra,Pune,411041,http://www.analogic.co.in/
"Microverse Automation Pvt. Ltd. - DCS, SCADA, PLC based Automation Solutions",,,2025290041,Building automation companies,,,"79/2, Dangat Industrial Estate, NDA Rd, Shivane, Pune, Maharashtra 411023",Automation company,Maharashtra,Pune,411023,https://www.microversedcs.com/
Skylark Automation Pvt Ltd,,,,Building automation companies,,,"RAVIRAJ TERRACE B2 3RD FLOOR OFFICE NO9, Sukhsagar Nagar, Katraj, Pune, Maharashtra 411046",Home automation company,Maharashtra,Pune,411046,https://skylark-automation-pvt-ltd.business.site/?utm_source=gmb&utm_medium=referral
Emerson Export Engineering Center,,,2067047000,Building automation companies,,,"GVM3+98X, Emerson Tower, Matrix Complex, Old Mumbai - Pune Hwy, beside Shopper's Stop, Wakadewadi, Pune, 411005",Automation company,Maharashtra,Pune,411005,https://www.emerson.com/en-in/news/corporate/emerson-export-engineering-center
Dhanandip Automation,,,7030000421,Building automation companies,,,"Office No. 12, Anandsagar Apartment, Sinhgad Rd, Anand Nagar, Pune, Maharashtra 411051",Automation company,Maharashtra,Pune,411051,http://www.dhanandip.com/
Smart Delight Home Automation,,,,Building automation companies,,,"Ground Floor, Torna Building, Mukundngar, behind Ranka Hospital, Pune, Maharashtra 411037",Home automation company,Maharashtra,Pune,411037,
TechBean Systems Pvt Ltd,,,8550995660,Building automation companies,,,"Address TechBean Systems Pvt. Ltd. 202, Siddhi Terrace, S. No. 20, behind Dhananjay Plaza, Bavdhan (Bk, Pune, Maharashtra 411021",Home automation company,Maharashtra,Pune,411021,https://techbeansystems.com/
TecLogos Automation Pvt Ltd,,,8378918639,Building automation companies,,,"Mega Center, K407, 3rd Floor, Pune - Solapur Rd, Hadapsar, Pune, Maharashtra 411028",Automation company,Maharashtra,Pune,411028,
ARMSTRONG MACHINE BUILDERS PVT. LTD,,,9673002942,Building automation companies,,,"Armstrong Machine Builders Pvt Ltd, 301A, Gera-77, Palace View Society, Kalyani Nagar, Pune, Maharashtra 411014",Automation company,Maharashtra,Pune,411014,https://armstrongltd.com/
Vsas Automation Services Private Limited,,,2025442302,Building automation companies,,,"Mulik Baug, Survey No 124/12a, Kothrud, off, Jijau Masaheb Marg, near MIT College of Engineering, opposite Swapapurti hall, Kothrud, Pune, Maharashtra 411038",Automation company,Maharashtra,Pune,411038,http://www.vsasautomation.com/
Softtech Automation,,,7720002490,Building automation companies,,,"ground floor, Akshata building, Lane Number 1, swamivivakanand nagar, New Sanghavi, Pimpri-Chinchwad, Maharashtra 411027",Automation company,Maharashtra,Pimpri-Chinchwad,411027,https://www.softtechautomation.com/
Pellucid IoTTech - Smart Home Automation Systems,,,8484060699,Building automation companies,,,"401, Sanskriti Arcade, near Chatrapati Square, Wakad, Pune, Maharashtra 411057",Home automation company,Maharashtra,Pimpri-Chinchwad,411057,
Smartify Plus,,,9028283072,Building automation companies,,,"516, Rasta Peth, Pune, Maharashtra 411011",Home automation company,Maharashtra,Pune,411011,https://smartifyplus.in/
Venus Robotics Pvt Ltd,,,9922950320,Building automation companies,,,"Ghule Patil Industrial Estate,S. No. 10/2,Off Sinhgad Road, Nanded Shivane Link Rd, Pandurang Industrial Area, Nanded, Pune, Maharashtra 411041",Industrial equipment supplier,Maharashtra,Pune,411041,
Vacis Automation Pvt Ltd,,,6265245895,Building automation companies,,,"3rd floor, Office No: 301 Siyona Height, opp. Brick Castle, near G.P. Nakshtra Garden, Bhosale Nagar, Hadapsar, Pune, Maharashtra 411028",Automation company,Maharashtra,Pune,411028,https://www.vacisautomation.com/
AMSAT EDC,,,9890618819,Building automation companies,,,"Flat #320, Building, # 22, Lal Bahadur Shastri Rd, Lokamanya Nagar, Sadashiv Peth, Pune, Maharashtra 411030",Automation company,Maharashtra,Pune,411030,http://www.amsatedc.com/
Yale digital locks - kismat,,,,Building automation companies,,,"Shop no 6, Laxmi Niwas Building, Mukund Nagar, Pune, Maharashtra 411037",Home automation company,Maharashtra,Pune,411037,http://www.yaleasia.com/
SEIMITSU Factory Automation Pvt. Ltd.,,,2046212700,Building automation companies,,,"Seimitsu Tower, Plot No. A-51, H Block, MIDC Industrial Area, Near, Auto-cluster,, Pimpri-Chinchwad,, opp. Devi Industries, Pune, Maharashtra 411018",Industrial equipment supplier,Maharashtra,Pimpri-Chinchwad,411018,https://www.seimitsu.in/
UNI-TECH Automation Pvt. Ltd.,,,8390039700,Building automation companies,,,"79, Survey No. Plot No.7, 2, near Ramelex Industries Limited, Shivane, Pune, Maharashtra 411023",Manufacturer,Maharashtra,Pune,411023,https://www.uni-techautomation.com/
A N Technologies,,,,Building automation companies,,,"utkarsh, 32/3B, Lane Number 6, Utkarsha Society, Vighnaharta Nagar, Katraj, Pune, Maharashtra 411046",Home automation company,Maharashtra,Pune,411046,https://a-n-technologies.business.site/
Nexus Automations - Home Automation Systems in Pune,,,,Building automation companies,,,"Apartment, Privie Selena, Shop No 101, Vaidehi Saket Building Near Kumar’s, New, Baner - Pashan Link Rd, Pashan, Pune, Maharashtra 411021",Home automation company,Maharashtra,Pune,411021,https://nexusautomations.co.in/
General Industrial Controls Private Limited ( GIC ),,,2046232323,Building automation companies,,,"T - 107, MIDC Rd, T Block, MIDC, Bhosari, Pune, Maharashtra 411026",Electronics company,Maharashtra,Pimpri-Chinchwad,411026,https://www.gicindia.com/
Concord Technologies,,,2064007778,Building automation companies,,,"Orient Plaza, 109, Pune - Solapur Rd, Ramtekadi, Hadapsar, Pune, Maharashtra 411013",Corporate office,,,411013,http://concordtech.co.in/
"GEOMETRIX AUTOMATION & ROBOTICS PVT LTD–Used Robot/Refurbished Robot In India,Used/ Refurbished ABB/Kuka/Fanuc Industrial Robot For Sale/Rent/Hire In PCMC/Pune/Mumbai/Bengaluru/Mohali/Hyderabad/Gurgaon/Faridabad/Manesar/Chennai/Rajkot/Ahmedabad/India",,,9921001880,Building automation companies,,,"Gat No.- 53/1, Near Nigdi - Chakan Road, Talawade Rd, Talwade, Tal.-Haveli, Maharashtra 411062",Automation company,Maharashtra,Pimpri-Chinchwad,411062,https://geometrixar.com/
Denovo Tech,,,,Building automation companies,,,"2 - Madhuban, Lane No. 5, N Main Rd, above Canara Bank, Koregaon Park, Pune, Maharashtra 411001",Home automation company,Maharashtra,Pune,411001,http://www.denovotech.in/
Arhat Enterprises,,,2026348603,Building automation companies,,,"10, Motado Bungalow, NPS Line, East St, opp. LIC Office, Pune, 411001",Home automation company,Maharashtra,Pune,411001,http://www.arhat.in/
Laser Automation Pvt. Ltd.,,,9923593193,Building automation companies,,,"Unit No. 40, Electronic Co-Operative Estate, Pune - Satara Rd, opposite City Pride Theatre, Pune, Maharashtra 411009",Machining manufacturer,Maharashtra,Pune,411009,http://www.laserautomation.in/
Square Automation,,,9422548391,Building automation companies,,,"Square Automation Dangat Industrial Estate, 81/2, NDA Rd, Shivane, Pune, Maharashtra 411023",Manufacturer,Maharashtra,Pune,411023,http://square-automation.com/
SAS Automation Pvt. Ltd,,,7756869619,Building automation companies,,,"58, Unit, Police Chowki, Shree Sant Dnyaneshwar Industrial Estate Plot 59, no 08, Mohan Nagar Main Rd, near Mohanagar, D-II Block, MIDC, Pimpri-Chinchwad, Maharashtra 411019",Automation company,Maharashtra,Pimpri-Chinchwad,411019,http://www.sasautomation.in/
Safe House Security | Home Automation company in pune,,,9370545001,Building automation companies,,,"Safe House Security 73, Patil Plaza, Mitra Mandal Chowk, Parvati, Parvati Paytha, Pune, Maharashtra 411009",Security system installer,Maharashtra,Pune,411009,http://www.safehousepune.com/
Cubix Automation Private Limited,,,2024358743,Building automation companies,,,"Survey No 26, 6, Sinhgad Rd, near Mahesh Bank, Hingne Khurd, Pune, Maharashtra 411051",Manufacturer,Maharashtra,Pune,411051,http://www.cubixautomation.net/
Arksa Technologies,,,9975586645,Building automation companies,,,"302, Darpan Building, Sahakarnagar 2, 84/2 Parvati, Maharashtra 411009",Packaging machinery,Maharashtra,Pune,411009,http://www.arksatech.com/
Maestrotek Innovations Pvt. Ltd.,,,7263004488,Building automation companies,,,"406, B-Wing, Teerth Technospace,, Baner, Pune, Maharashtra 411045",Automation company,Maharashtra,Pune,411045,http://www.maestrotek-innovation.com/
Starrbot Automations Pvt. Ltd.,,,8329415737,Building automation companies,,,"Clover Metropole Office No.1, 4th Floor NIBM Road, above Dorabjee, Kondhwa, Pune, Maharashtra 411048",Automation company,Maharashtra,Pune,411048,https://starrbot.com/
Patronix Technologies Pvt. Ltd,,,9403546634,Building automation companies,,,"GW9P+CPQ, Magarpatta Rd, Amanora Park Town, Hadapsar, Pune, Maharashtra 411028",Automation company,Maharashtra,Pune,411028,
